"id","name","ingredients","time_minutes","calories","difficulty","diet","tags","category","steps"
"54","Palak Paneer","paneer, spinach, onion, tomato, garlic, ginger, cream, cumin, garam masala, turmeric, green chili, oil, salt","25","300","medium","veg","comfort,healthy","north-indian","Blanch spinach and blend smooth; Saute onion garlic ginger; Add tomato and cook until soft; Add spinach puree and spices; Simmer 5 min; Add paneer cubes and cream; Cook 5 min more; Serve hot"
"55","Chicken Biryani","chicken, basmati rice, onion, yogurt, tomato, ginger, garlic, mint, saffron, ghee, garam masala, turmeric, oil, salt","45","520","hard","non-veg","comfort","north-indian","Marinate chicken in yogurt and spices; Par-cook rice with whole spices; Brown onions until crispy; Layer rice chicken and onions in a pot; Add saffron milk and ghee; Seal and cook on dum 25 min; Gently mix and serve"
"56","Paneer Butter Masala","paneer, butter, cream, tomato puree, onion, cashews, garlic, ginger, garam masala, coriander, sugar, oil, salt","25","360","medium","veg","comfort","north-indian","Blend onion cashews and tomatoes; Saute in butter until thick; Add spices and cook 5 min; Stir in cream and simmer; Add paneer cubes; Cook 5 min; Finish with butter and coriander"
"57","Rajma Chawal","kidney beans, rice, onion, tomato, garlic, ginger, cumin, coriander, garam masala, turmeric, oil, salt","35","400","easy","veg","comfort","north-indian","Soak and pressure cook kidney beans; Cook rice separately; Saute onion garlic ginger; Add tomato and spices; Add kidney beans and simmer 15 min; Serve rajma over rice"
"58","Mutton Curry","mutton, onion, tomato, yogurt, garlic, ginger, coriander, cumin, garam masala, turmeric, chili powder, oil, salt","50","440","hard","non-veg","comfort","north-indian","Marinate mutton in yogurt and spices; Brown onion garlic ginger; Add marinated mutton and sear; Add tomato and cook until thick; Add water and pressure cook 20 min; Simmer to thicken gravy; Garnish with coriander"
"59","Egg Curry","eggs, onion, tomato, garlic, ginger, cumin, coriander, turmeric, garam masala, oil, salt","20","280","easy","non-veg","comfort,quick","north-indian","Hard boil eggs and peel; Saute onion garlic ginger in oil; Add tomato and spices; Cook until oil separates; Score eggs and add to gravy; Simmer 10 min; Garnish with coriander"
"60","Aloo Paratha","whole wheat flour, potato, green chili, coriander, cumin, garam masala, butter, salt","20","380","medium","veg","comfort","north-indian","Boil and mash potatoes with spices; Make soft dough; Stuff potato mix in dough ball; Roll and cook on tawa with butter; Cook both sides golden; Serve with curd and pickle"
"61","Dal Baati Churma","whole wheat flour, urad dal, chana dal, moong dal, ghee, jaggery, semolina, cardamom, cinnamon, cumin, turmeric, salt","60","520","hard","veg","comfort","north-indian","Knead hard dough and shape into balls; Bake baati in oven or over fire until golden; Pressure cook mixed dals with turmeric and salt; Temper with ghee cumin and whole spices; Crush half the baati with jaggery and ghee for churma; Serve dal and churma alongside whole baati"
"62","Laal Maas","mutton, red chilies, yogurt, onion, garlic, ginger, coriander, cumin, cardamom, cloves, ghee, salt","60","480","hard","non-veg","comfort","north-indian","Soak dried red chilies and grind to paste; Marinate mutton in yogurt and spice paste; Brown onion in ghee; Add marinated mutton and sear well; Add remaining chili paste and cook on low heat; Pressure cook until mutton is tender; Simmer uncovered to thicken gravy"
"63","Gatte ki Sabzi","besan, yogurt, turmeric, red chili, coriander, cumin, fennel, asafoetida, ghee, salt","35","310","medium","veg","comfort","north-indian","Mix besan with spices and water into a stiff dough; Roll into cylinders and boil in salted water; Slice boiled gattas; Whisk yogurt with turmeric and chili; Heat ghee temper with cumin asafoetida and fennel; Add yogurt mix and sliced gattas; Simmer until gravy thickens"
"64","Bajra Roti with Garlic Chutney","bajra flour, garlic, dried red chili, salt, ghee, water","20","260","easy","veg","quick,healthy","north-indian","Knead bajra flour with warm water and salt; Pat into thick round roti; Cook on tawa on high heat flipping often; Apply ghee; Pound garlic with dried red chili and salt for chutney; Serve hot roti with chutney and white butter"
"65","Pyaaz Kachori","all-purpose flour, onion, fennel seeds, coriander, cumin, red chili, garam masala, oil, salt","45","370","medium","veg","comfort","snacks","Make soft dough with flour oil and salt; Saute onion with fennel coriander and spices for filling; Cool the filling; Divide dough and stuff with onion filling; Seal and flatten into kachori shape; Deep fry on medium heat until golden and crisp; Serve with tamarind chutney"
"66","Machher Jhol","rohu fish, potato, tomato, turmeric, cumin, green chili, ginger, mustard oil, coriander, salt","30","320","medium","non-veg","comfort","south-indian","Marinate fish in turmeric and salt; Fry fish in mustard oil until golden; Fry potato pieces; Saute ginger and cumin in same oil; Add tomato and cook until soft; Add fried potatoes and fish; Pour water and simmer 10 min; Finish with green chili and coriander"
"67","Kosha Mangsho","mutton, onion, yogurt, ginger, garlic, turmeric, red chili, cumin, coriander, garam masala, mustard oil, salt","75","460","hard","non-veg","comfort","north-indian","Marinate mutton in yogurt and spices for 2 hours; Caramelize onion in mustard oil until dark brown; Add mutton and cook on high heat searing well; Lower heat and cook covered stirring often; Add small amounts of water to prevent burning; Cook until oil separates and mutton is tender; Finish with garam masala"
"68","Aloo Posto","potato, poppy seeds, green chili, mustard oil, turmeric, salt, sugar","25","280","easy","veg","comfort,quick","south-indian","Soak poppy seeds and grind with green chili to paste; Cube and lightly fry potatoes in mustard oil; Add turmeric and stir; Add poppy seed paste and mix well; Cook on low heat stirring until potatoes are coated and dry; Add a pinch of sugar and salt; Serve with rice"
"69","Shorshe Ilish","hilsa fish, mustard seeds, green chili, turmeric, mustard oil, yogurt, salt","25","350","medium","non-veg","comfort","south-indian","Grind mustard seeds with green chili and water to a paste; Marinate hilsa in turmeric and salt; Heat mustard oil until smoking; Lightly fry fish pieces; Add mustard paste and mix; Add yogurt and green chilies; Simmer on low heat covered for 10 min; Serve with steamed rice"
"70","Cholar Dal","chana dal, coconut, raisins, cardamom, bay leaf, cloves, ghee, cumin, turmeric, ginger, salt, sugar","35","310","easy","veg","comfort","south-indian","Soak and pressure cook chana dal with turmeric and salt; Heat ghee and temper with bay leaf cloves cardamom and cumin; Add ginger and cook; Add cooked dal and mix; Fry coconut pieces and raisins separately and add; Finish with a pinch of sugar; Serve with luchi or rice"
"71","Dhokla","besan, yogurt, ginger, green chili, turmeric, eno, mustard seeds, curry leaves, coriander, oil, salt, sugar","30","220","medium","veg","quick,healthy","snacks","Mix besan yogurt ginger chili turmeric and salt into smooth batter; Rest 30 min; Add eno and mix; Pour into greased pan and steam 20 min; Cool and cut into squares; Temper mustard seeds curry leaves and green chili in oil; Pour tempering over dhokla; Garnish with coriander"
"72","Methi Thepla","whole wheat flour, fenugreek leaves, yogurt, turmeric, red chili, cumin, ajwain, oil, salt","25","240","easy","veg","quick,healthy","north-indian","Mix flour with chopped methi leaves yogurt and all spices; Knead into soft dough; Divide and roll into thin rotis; Cook on hot tawa with oil; Cook both sides until brown spots appear; Serve with yogurt and pickle; These stay fresh for 3 days and are great for travel"
"73","Khandvi","besan, yogurt, ginger, turmeric, green chili, mustard seeds, sesame seeds, asafoetida, curry leaves, coriander, oil, salt","35","180","hard","veg","healthy","snacks","Mix besan yogurt turmeric salt and water into lump-free batter; Cook on medium heat stirring continuously until thick; Quickly spread thin layer on a greased surface; Allow to cool for 2 min; Roll into tight cylinders and cut; Temper mustard seeds sesame asafoetida and curry leaves; Pour over khandvi and garnish with coriander"
"74","Sev Tameta","tomato, sev, onion, garlic, ginger, green chili, turmeric, red chili, coriander, oil, salt, sugar","20","230","easy","veg","quick,comfort","north-indian","Saute onion garlic and ginger in oil; Add tomato and cook until soft and mushy; Add turmeric red chili and salt; Add a pinch of sugar and water; Simmer 10 min until thick gravy; Top generously with sev just before serving; Garnish with coriander and serve immediately"
"75","Gujarati Dal","toor dal, tomato, peanuts, jaggery, tamarind, turmeric, mustard seeds, curry leaves, cinnamon, cloves, ghee, salt","30","290","easy","veg","comfort","north-indian","Pressure cook toor dal with turmeric and peanuts; Mash dal and add tamarind water; Add tomato jaggery and salt; Simmer until well combined; Heat ghee and temper with mustard seeds curry leaves cinnamon and cloves; Pour tempering into dal; Adjust sweet and sour balance; Serve with rotli and shaak"
"76","Vada Pav","potato, besan, pav, garlic, green chili, ginger, mustard seeds, turmeric, dry red chili, coconut, coriander, oil, salt","35","380","medium","veg","comfort","snacks","Boil and mash potato with tempered spices and coriander; Shape into balls; Make besan batter with turmeric and salt; Dip potato ball in batter and deep fry until golden; Make dry garlic coconut chutney by grinding roasted ingredients; Slit pav and spread green chutney; Place vada inside and top with dry garlic chutney"
"77","Misal Pav","sprouted moth beans, onion, tomato, coconut, garlic, ginger, goda masala, red chili, oil, pav, coriander, lemon, farsan","45","360","medium","veg","comfort","snacks","Pressure cook sprouts with turmeric and salt; Grind coconut garlic and goda masala for paste; Saute onion until brown add tomato and paste; Cook until oil separates; Add sprouts and water simmer 10 min; Ladle into bowls top with raw onion coriander and farsan; Squeeze lemon and serve with pav"
"78","Pav Bhaji","potato, cauliflower, peas, capsicum, tomato, onion, garlic, ginger, pav bhaji masala, butter, pav, lemon, coriander","35","420","medium","veg","comfort","snacks","Boil potato cauliflower and peas and mash; Saute onion garlic ginger in butter; Add capsicum and tomato and cook well; Add mashed vegetables and pav bhaji masala; Mash everything together on tawa adding butter; Cook on high heat stirring and mashing; Toast pav with butter; Garnish with onion lemon and coriander"
"79","Puran Poli","chana dal, jaggery, cardamom, nutmeg, all-purpose flour, whole wheat flour, turmeric, ghee, oil","60","450","hard","veg","comfort","north-indian","Pressure cook chana dal until soft and drain completely; Mash with jaggery cardamom and nutmeg for puran; Knead dough with flour turmeric and oil; Stuff dough ball with puran and roll gently; Cook on tawa on medium heat; Apply ghee and cook until golden; Serve with warm ghee and milk"
"80","Kolhapuri Chicken","chicken, onion, coconut, sesame seeds, poppy seeds, red chili, coriander, cumin, garam masala, oil, salt","50","430","hard","non-veg","comfort","north-indian","Dry roast coconut sesame poppy seeds and whole spices; Grind into fine powder; Caramelize onion and grind; Sear chicken pieces in oil; Add onion paste and cook; Add ground spice powder and mix well; Add water and simmer covered 25 min; Finish with garam masala; Serve with bhakri or roti"
"81","Sabudana Khichdi","sabudana, potato, peanuts, green chili, ginger, cumin, ghee, lemon, coriander, salt, sugar","25","350","easy","veg","comfort,quick","north-indian","Soak sabudana 4 hours and drain completely; Roast and crush peanuts; Cube and fry potato until golden; Heat ghee and temper with cumin; Add green chili and ginger; Add potato and sabudana; Toss gently with salt and sugar; Cook covered on low heat 8 min; Finish with lemon and coriander"
"82","Goan Fish Curry","pomfret, coconut, dried red chili, coriander seeds, cumin, turmeric, tamarind, garlic, ginger, onion, oil, salt","35","340","medium","non-veg","comfort","south-indian","Grind coconut red chili coriander cumin and turmeric with water to paste; Saute onion garlic ginger in oil; Add ground paste and cook 5 min; Add tamarind water and bring to boil; Add fish pieces carefully; Simmer gently 10 min until fish is cooked; Do not stir too much; Serve with steamed rice"
"83","Prawn Balchao","prawns, onion, garlic, ginger, red chili, vinegar, tomato, mustard seeds, fenugreek, oil, salt, sugar","30","280","medium","non-veg","comfort","south-indian","Grind red chili garlic ginger with vinegar to paste; Saute onion in oil until dark; Add balchao paste and cook until oil separates; Add tomato and cook well; Add cleaned prawns and stir; Add salt and a little sugar; Cook until prawns are done and gravy is thick; Serve with bread or rice"
"84","Chicken Xacuti","chicken, coconut, poppy seeds, dried red chili, coriander, cumin, cloves, cinnamon, nutmeg, onion, garlic, tamarind, oil, salt","55","420","hard","non-veg","comfort","continental","Dry roast coconut poppy seeds and whole spices; Grind with red chili and water to paste; Sear chicken in oil until browned; Saute onion and garlic until golden; Add ground masala and cook 10 min; Add tamarind water and chicken; Simmer covered 25 min until chicken is tender; Rest 10 min before serving"
"85","Kerala Fish Curry","king fish, coconut milk, kokum, shallots, green chili, ginger, turmeric, red chili, curry leaves, coconut oil, salt","30","360","medium","non-veg","comfort","south-indian","Heat coconut oil and saute shallots ginger green chili and curry leaves; Add turmeric and red chili powder; Add thin coconut milk and kokum; Bring to simmer and add fish pieces; Cook gently 10 min; Add thick coconut milk and reduce heat; Simmer 5 min without boiling; Serve with red rice"
"86","Puttu with Kadala Curry","rice flour, coconut, black chickpeas, onion, garlic, ginger, turmeric, red chili, coriander, coconut milk, curry leaves, coconut oil, salt","40","380","medium","veg","comfort","south-indian","Mix rice flour with salt and water until it resembles wet sand; Layer rice flour and grated coconut in puttu maker; Steam until cooked through; Pressure cook black chickpeas; Saute onion garlic ginger and spices in coconut oil; Add chickpeas and coconut milk; Simmer until thick; Serve puttu with curry"
"87","Avial","drumstick, raw banana, yam, carrot, beans, coconut, green chili, cumin, yogurt, curry leaves, coconut oil, turmeric, salt","35","260","medium","veg","healthy,comfort","south-indian","Cut all vegetables lengthwise and cook in minimal water with turmeric and salt; Grind coconut cumin and green chili to coarse paste; Add coconut paste to half-cooked vegetables; Mix in yogurt and cook on low heat; Finish with fresh curry leaves and coconut oil; Serve with rice or as part of sadya"
"88","Kerala Prawn Moilee","prawns, coconut milk, onion, green chili, ginger, garlic, turmeric, mustard seeds, curry leaves, coconut oil, salt","25","310","easy","non-veg","quick,comfort","south-indian","Saute onion ginger garlic in coconut oil until soft; Add green chili and turmeric; Add thin coconut milk and bring to simmer; Add prawns and cook 5 min; Add thick coconut milk and curry leaves; Simmer gently without boiling 3 min; Adjust salt; Serve with appam or rice"
"89","Rogan Josh","lamb, onion, yogurt, kashmiri red chili, fennel, ginger powder, cardamom, cloves, cinnamon, bay leaf, ghee, salt","70","470","hard","non-veg","comfort","north-indian","Heat ghee and add whole spices; Brown lamb pieces well; Add kashmiri red chili paste for deep red color; Add beaten yogurt gradually stirring continuously; Add ginger powder and fennel powder; Cook on low heat covered until lamb is tender; Uncover and reduce gravy; Finish with garam masala"
"90","Kashmiri Dum Aloo","small potato, yogurt, fennel, ginger powder, kashmiri red chili, cardamom, cloves, asafoetida, ghee, salt","40","320","medium","veg","comfort","north-indian","Boil and prick potatoes all over; Fry in ghee until golden; Remove and lightly flatten; In same ghee add asafoetida and spices; Add kashmiri chili paste; Add beaten yogurt stirring constantly; Add fennel and ginger powder; Add potatoes and cook on dum; Simmer 20 min until oil floats"
